date,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-01-26,0 ,78729.0,45453.0,37762.0,34707.0,17965.0,13056.0,43209.0,62092.0,9247.0,11904.0,18311.0,34689.0,39427.0,52329.0,23661.0,29786.0,33867.0,35990.0,15437.0,18776.0,40582.0,43904.0,34398.0,21332.0,81003.0,67646.0,473598.0,471664.0,7:03 PM,Train unloaded passengers due to technical problem.,North Bound,Buendia,CAT 2
2017-01-27,0 ,83495.0,47838.0,39008.0,34979.0,19059.0,13487.0,45863.0,68186.0,9539.0,12148.0,19560.0,36408.0,40709.0,55365.0,24232.0,29074.0,35710.0,35679.0,14943.0,19487.0,40388.0,45821.0,36860.0,22200.0,86469.0,72756.0,495835.0,493428.0,6:46 PM,Train stopped due to technical problem.,North Bound,Ayala Avenue - Buendia,CAT 2
2017-01-28,1 ,48973.0,33678.0,20876.0,18963.0,9424.0,7438.0,34242.0,47336.0,3994.0,5670.0,8281.0,17932.0,26007.0,32918.0,14114.0,14362.0,25867.0,22786.0,5581.0,6311.0,23740.0,24963.0,18054.0,9514.0,54710.0,50357.0,293863.0,292228.0,,,,,
2017-01-29,0 ,39799.0,23860.0,14571.0,12269.0,7405.0,4821.0,27125.0,31405.0,2601.0,3885.0,5325.0,11934.0,18526.0,24439.0,9630.0,11393.0,18637.0,19368.0,2618.0,4036.0,15433.0,19149.0,10259.0,7511.0,41652.0,38630.0,213581.0,212700.0,,,,,
2017-01-30,0 ,83087.0,41812.0,36628.0,32492.0,18483.0,12006.0,41274.0,57490.0,8233.0,11296.0,16709.0,33262.0,36053.0,50955.0,20959.0,28877.0,31660.0,35562.0,13672.0,18594.0,35889.0,43105.0,30887.0,21840.0,78503.0,63438.0,452037.0,450729.0,8:29 PM,"Train experienced technical problem, passengers will be unloaded at Ayala Station NB.",North Bound,Magallanes - Ayala Avenue,CAT 3
2017-01-31,1 ,81730.0,46491.0,38170.0,35211.0,18165.0,13423.0,43047.0,62783.0,9209.0,12054.0,18449.0,34729.0,39889.0,53313.0,24030.0,30473.0,34212.0,36221.0,15564.0,19469.0,40902.0,44298.0,35306.0,22182.0,81515.0,67908.0,480188.0,478555.0,10:14 PM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 3
2017-02-01,14 ,80153.0,46969.0,37841.0,35273.0,18024.0,13175.0,43712.0,63754.0,8972.0,11677.0,18203.0,34411.0,40517.0,53563.0,24650.0,31151.0,34612.0,36534.0,15960.0,18991.0,41497.0,43930.0,36166.0,22164.0,85120.0,72141.0,485427.0,483733.0,4:05 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-02-02,1 ,78428.0,45285.0,36445.0,34627.0,17406.0,12836.0,41980.0,61857.0,8745.0,11437.0,18154.0,33460.0,39372.0,52114.0,23940.0,30136.0,33305.0,35665.0,15142.0,18278.0,41156.0,43317.0,34623.0,21554.0,79813.0,66447.0,468509.0,467013.0,5:44 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-02-03,0 ,83228.0,50674.0,38486.0,35056.0,18370.0,13580.0,46275.0,68231.0,9392.0,11967.0,19812.0,36340.0,41527.0,54918.0,24688.0,30326.0,35618.0,36546.0,15057.0,19232.0,42692.0,46160.0,37720.0,21935.0,85558.0,71457.0,498423.0,496422.0,2:40 PM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 2:43pm",North Bound,Cubao - GMA Kamuning,CAT 3
2017-02-04,0 ,56850.0,40243.0,24637.0,23115.0,11064.0,9270.0,38975.0,56110.0,5161.0,6968.0,10419.0,21452.0,30731.0,39184.0,17045.0,18344.0,29713.0,26771.0,8250.0,8264.0,27426.0,27513.0,24204.0,12402.0,62215.0,55194.0,346690.0,344830.0,1:48 PM,Train unloaded pax at Shaw Blvd Stn NB at 1:48pm due to technical problem.,North Bound,Shaw Boulevard,CAT 3
2017-02-05,0 ,39896.0,24890.0,14626.0,12488.0,7463.0,4924.0,28586.0,33039.0,2748.0,3919.0,5619.0,12370.0,19373.0,24629.0,9959.0,11858.0,19593.0,20437.0,2735.0,4068.0,15732.0,19084.0,10383.0,7136.0,42707.0,39305.0,219420.0,218147.0,8:29 AM,Train unloaded pax at Guadalupe Stn SB at 8:29am due to technical problem.,South Bound,Guadalupe,CAT 3
2017-02-06,0 ,81578.0,42195.0,36138.0,32255.0,18749.0,12419.0,42865.0,59100.0,8549.0,11196.0,17066.0,32861.0,37050.0,51515.0,21755.0,29468.0,31098.0,35533.0,14562.0,18764.0,37537.0,43756.0,32504.0,22700.0,80356.0,66436.0,459807.0,458198.0,,,,,
2017-02-07,0 ,80489.0,45778.0,37017.0,34899.0,17982.0,13039.0,43507.0,63822.0,9062.0,11508.0,18344.0,33806.0,39645.0,52720.0,23552.0,30545.0,33719.0,36126.0,16055.0,19286.0,41060.0,43731.0,34756.0,22041.0,82018.0,68170.0,477206.0,475471.0,8:48 AM,Train unloaded pax at Cubao Stn SB at 8:55am due to technical problem.,South Bound,GMA Kamuning - Cubao,CAT 3
2017-02-08,0 ,80435.0,46541.0,37494.0,35067.0,17881.0,13083.0,44105.0,63114.0,8877.0,11790.0,18614.0,34507.0,39690.0,53564.0,24080.0,30625.0,34185.0,36037.0,15541.0,19233.0,40996.0,44123.0,35055.0,21696.0,83904.0,69800.0,480857.0,479180.0,,,,,
2017-02-09,0 ,79202.0,45004.0,37134.0,34526.0,17462.0,12997.0,43471.0,62666.0,8584.0,11469.0,17840.0,33609.0,39367.0,53083.0,23293.0,29081.0,33193.0,35628.0,15413.0,18923.0,41026.0,43584.0,33688.0,21593.0,80714.0,66917.0,470387.0,469080.0,,,,,
2017-02-10,0 ,83088.0,50252.0,38972.0,35747.0,18781.0,14004.0,46605.0,69808.0,9387.0,12168.0,19890.0,36231.0,42862.0,56410.0,25472.0,30766.0,36388.0,36929.0,16322.0,19513.0,43848.0,46309.0,37170.0,22308.0,87216.0,73828.0,506001.0,504273.0,,,,,
2017-02-11,0 ,57115.0,38844.0,24531.0,23278.0,11329.0,9379.0,38057.0,55110.0,5166.0,6982.0,10926.0,21002.0,30225.0,38152.0,16984.0,17722.0,29424.0,27062.0,8211.0,8219.0,27107.0,28029.0,23539.0,12341.0,63486.0,58288.0,346100.0,344408.0,10:27 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-02-12,0 ,39909.0,23934.0,14707.0,12091.0,7499.0,4971.0,28941.0,33580.0,2780.0,3972.0,5443.0,11816.0,18890.0,23960.0,10018.0,11758.0,19153.0,20165.0,2783.0,3990.0,15565.0,19415.0,10272.0,7274.0,42754.0,40837.0,218714.0,217763.0,,,,,
2017-02-13,2 ,81137.0,43300.0,36015.0,31775.0,19214.0,11964.0,42139.0,58080.0,8885.0,10849.0,17934.0,33578.0,38685.0,55418.0,21273.0,29257.0,31342.0,35435.0,14423.0,18230.0,36752.0,41924.0,31232.0,20634.0,78244.0,64928.0,457275.0,455372.0,4:54 PM,Train unloaded passengers at Kamuning Station SB at 4:54 pm due to technical problem.,South Bound,GMA Kamuning,CAT 2
2017-02-13,2 ,81137.0,43300.0,36015.0,31775.0,19214.0,11964.0,42139.0,58080.0,8885.0,10849.0,17934.0,33578.0,38685.0,55418.0,21273.0,29257.0,31342.0,35435.0,14423.0,18230.0,36752.0,41924.0,31232.0,20634.0,78244.0,64928.0,457275.0,455372.0,5:25 AM,Train unloaded pax at Quezon Ave Stn SB at 5:25am due to technical problem.,South Bound,Quezon Avenue,CAT 3
