date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-02-02,,,1,78428,45285,36445,34627,17406,12836,41980,61857,8745,11437,18154,33460,39372,52114,23940,30136,33305,35665,15142,18278,41156,43317,34623,21554,79813,66447,468509,467013,5:44 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-02-03,,,0,83228,50674,38486,35056,18370,13580,46275,68231,9392,11967,19812,36340,41527,54918,24688,30326,35618,36546,15057,19232,42692,46160,37720,21935,85558,71457,498423,496422,2:40 PM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 2:43pm",North Bound,Cubao - GMA Kamuning,CAT 3
2017-02-04,,,0,56850,40243,24637,23115,11064,9270,38975,56110,5161,6968,10419,21452,30731,39184,17045,18344,29713,26771,8250,8264,27426,27513,24204,12402,62215,55194,346690,344830,1:48 PM,Train unloaded pax at Shaw Blvd Stn NB at 1:48pm due to technical problem.,North Bound,Shaw Boulevard,CAT 3
2017-02-05,,,0,39896,24890,14626,12488,7463,4924,28586,33039,2748,3919,5619,12370,19373,24629,9959,11858,19593,20437,2735,4068,15732,19084,10383,7136,42707,39305,219420,218147,8:29 AM,Train unloaded pax at Guadalupe Stn SB at 8:29am due to technical problem.,South Bound,Guadalupe,CAT 3
2017-02-06,,,0,81578,42195,36138,32255,18749,12419,42865,59100,8549,11196,17066,32861,37050,51515,21755,29468,31098,35533,14562,18764,37537,43756,32504,22700,80356,66436,459807,458198,,,,,
2017-02-07,,,0,80489,45778,37017,34899,17982,13039,43507,63822,9062,11508,18344,33806,39645,52720,23552,30545,33719,36126,16055,19286,41060,43731,34756,22041,82018,68170,477206,475471,8:48 AM,Train unloaded pax at Cubao Stn SB at 8:55am due to technical problem.,South Bound,GMA Kamuning - Cubao,CAT 3
2017-02-08,,,0,80435,46541,37494,35067,17881,13083,44105,63114,8877,11790,18614,34507,39690,53564,24080,30625,34185,36037,15541,19233,40996,44123,35055,21696,83904,69800,480857,479180,,,,,
2017-02-09,,,0,79202,45004,37134,34526,17462,12997,43471,62666,8584,11469,17840,33609,39367,53083,23293,29081,33193,35628,15413,18923,41026,43584,33688,21593,80714,66917,470387,469080,,,,,
2017-02-10,,,0,83088,50252,38972,35747,18781,14004,46605,69808,9387,12168,19890,36231,42862,56410,25472,30766,36388,36929,16322,19513,43848,46309,37170,22308,87216,73828,506001,504273,,,,,
2017-02-11,,,0,57115,38844,24531,23278,11329,9379,38057,55110,5166,6982,10926,21002,30225,38152,16984,17722,29424,27062,8211,8219,27107,28029,23539,12341,63486,58288,346100,344408,10:27 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-02-12,,,0,39909,23934,14707,12091,7499,4971,28941,33580,2780,3972,5443,11816,18890,23960,10018,11758,19153,20165,2783,3990,15565,19415,10272,7274,42754,40837,218714,217763,,,,,
2017-02-13,,,2,81137,43300,36015,31775,19214,11964,42139,58080,8885,10849,17934,33578,38685,55418,21273,29257,31342,35435,14423,18230,36752,41924,31232,20634,78244,64928,457275,455372,4:54 PM,Train unloaded passengers at Kamuning Station SB at 4:54 pm due to technical problem.,South Bound,GMA Kamuning,CAT 2
2017-02-14,,,0,82500,48751,37966,34773,18235,13178,46073,66841,8837,10968,19168,34652,41079,53988,24454,29937,35097,36405,15897,19090,42031,46125,35003,21778,83729,71888,490069,488374,,,,,
2017-02-15,,,0,79629,47532,37967,35486,18012,13290,43959,65033,9007,11564,18981,34454,41276,53500,24492,30299,34544,36227,15848,19018,41842,44528,35523,21919,84059,70843,485139,483693,,,,,
2017-02-16,,,1,79479,46956,38177,35923,18207,13379,44181,63915,9028,11764,18511,34289,40990,53902,24305,30342,35091,36290,15761,19019,41851,44872,34627,21765,82698,69049,482906,481465,8:25 PM,Train unloaded passengers at Shaw Blvd. Station SB AT 8:25PM due to technical problem.,South Bound,Shaw Boulevard,CAT 3
